Model,T1 tpr,T1 fpr,T2 tpr,T2 fpr,T3 tpr,T3 fpr,Train MSE,Train Rsq,Test MSE,Test Rsq,Model Size,Run Time
Forward select,1,0.001,0,0,0,0,3.33,0.727,3.49,0.711,4.04,0.757
Iform weak(2),1,0,0,0,0,0,1.128,0.907,1.252,0.895,8.08,5.896
Iform strong(2),1,0,0,0,0,0,1.102,0.909,1.198,0.9,8,1.557
Forward select(2),1,0,0,0,0,0,1.086,0.91,1.198,0.9,8.02,25.481
Forward select(3),1,0,0,0,0,0,0.992,0.918,1.121,0.906,8.56,471.88
Iform weak(3),1,0,0,0,0,0,1.02,0.916,1.135,0.905,9.13,11.346
Iform strong(3),1,0,0,0,0,0,0.968,0.92,1.06,0.911,8.95,1.872
glinternet,1,0.441,1,0.018,0,0,1.246,0.898,1.446,0.88,29.9,208.17
hierNet,1,0.303,1,0.024,0,0,0.906,0.925,1.421,0.882,40.99,27.521
Oracle,NA,NA,NA,NA,NA,NA,0.953,0.921,1.05,0.912,9,NA
